VCD info: dumpfile test.vcd opened for output.
                   0Starting simulation
                   0in = 00000000, out = 0
                  10in = 00000101, out = 0
                  20in = 00001010, out = 0
                  30in = 00001111, out = 0
                  40in = 00010100, out = 0
                  50in = 00011001, out = 1
                  60in = 00011110, out = 0
                  70in = 00100011, out = 1
                  80in = 00101000, out = 0
                  90in = 00101101, out = 0
                 100in = 00110010, out = 1
                 110in = 00110111, out = 1
                 120in = 00111100, out = 0
                 130in = 01000001, out = 0
                 140in = 01000110, out = 1
                 150in = 01001011, out = 0
                 160in = 01010000, out = 0
                 170in = 01010101, out = 0
                 180in = 01011010, out = 0
                 190in = 01011111, out = 0
                 200in = 01100100, out = 1
                 210in = 01101001, out = 0
                 220in = 01101110, out = 1
                 230in = 01110011, out = 1
                 240in = 01111000, out = 0
                 250in = 01111101, out = 0
                 260in = 10000010, out = 0
                 270in = 10000111, out = 0
                 280in = 10001100, out = 1
                 290in = 10010001, out = 1
                 300in = 10010110, out = 0
                 310in = 10011011, out = 1
                 320in = 10100000, out = 0
                 330in = 10100101, out = 0
                 340in = 10101010, out = 0
                 350in = 10101111, out = 0
                 360in = 10110100, out = 0
                 370in = 10111001, out = 1
                 380in = 10111110, out = 0
                 390in = 11000011, out = 0
                 400in = 11001000, out = 1
                 410in = 11001101, out = 1
                 420in = 11010010, out = 0
                 430in = 11010111, out = 0
                 440in = 11011100, out = 1
                 450in = 11100001, out = 0
                 460in = 11100110, out = 1
                 470in = 11101011, out = 0
                 480in = 11110000, out = 0
                 490in = 11110101, out = 0
                 500in = 11111010, out = 0
                 510in = 11111111, out = 0
